Date,Open,High,Low,Close,Adj Close,Volume
2017-07-06,48000,48100,47720,48060,42547.21875,10923050
2017-07-07,47740,48120,47620,47860,42370.15625,8131900
2017-07-10,48500,48900,48320,48660,43078.39844,10792750
2017-07-11,48640,49000,48280,49000,43379.39844,9717800
2017-07-12,49000,50000,48840,49880,44158.45313,9486150
2017-07-13,50080,50940,50040,50560,44760.45313,16034150
2017-07-14,51000,51080,50420,50480,44689.62891,8239000
2017-07-17,50900,51020,50520,50640,44831.27344,8976100
2017-07-18,50420,50880,50360,50840,45008.33594,7084450
2017-07-19,50620,50820,50000,50740,44919.80078,11157500
2017-07-20,50760,51320,50560,51200,45327.04688,8367600
2017-07-21,50860,51160,50520,51080,45220.80078,8449050
2017-07-24,50700,51000,50620,50860,45026.04297,7099750
2017-07-25,50500,50760,49940,50000,44264.69141,10810600
2017-07-26,49600,50020,49300,49840,44123.03906,11224800
2017-07-27,50000,50640,49560,49800,44087.63281,11449500
2017-07-28,49800,49800,47380,47760,42281.63672,26168300
2017-07-31,47420,48240,46920,48200,42671.16016,12701400
2017-08-01,48000,48840,47540,48600,43025.28125,11369500
2017-08-02,49200,49340,48600,49000,43379.39844,7777450
2017-08-03,49000,49000,47120,47780,42299.33984,15540800
2017-08-04,48160,48180,47500,47700,42228.50391,8359200
2017-08-07,47500,48080,47440,47580,42122.27734,7218250
2017-08-08,47980,48260,47480,47720,42246.21875,7979600
2017-08-09,47400,47400,46240,46280,40971.39453,14555400
2017-08-10,46200,46320,45460,45900,40634.98047,22986150
2017-08-11,45120,45300,44220,44620,39501.80469,25407300
2017-08-14,45120,45400,44720,45000,39838.22266,19185600
2017-08-16,46220,46380,46000,46200,40900.57031,21913650
2017-08-17,46960,47300,46740,47040,41644.22656,12415850
2017-08-18,46760,47240,46240,46900,41520.27344,10477950
2017-08-21,47240,47240,46580,46840,41467.16797,5103450
2017-08-22,46820,47160,46700,47000,41608.81641,7381750
2017-08-23,47780,47780,47180,47480,42033.74609,9384700
2017-08-24,47520,47660,47340,47520,42069.16016,8657450
2017-08-25,47880,47880,46720,47020,41626.51953,11243550
2017-08-28,47020,47240,45960,46100,40812.04688,9962100
2017-08-29,45640,46080,45160,46080,40794.33594,12623650
2017-08-30,46380,46400,45960,46200,40900.57031,7513000
2017-08-31,46220,46640,46000,46320,41006.79688,11011700
2017-09-01,46460,46640,46300,46480,41148.44922,10641700
2017-09-04,45780,46360,45500,46040,40758.91406,7943500
2017-09-05,46240,46900,45960,46760,41396.33203,11716100
2017-09-06,46760,47180,46700,47000,41608.81641,10811050
2017-09-07,47000,48220,47000,48120,42600.32813,9676500
2017-09-08,48700,49180,48580,49080,43450.22266,10893000
2017-09-11,49700,50180,49500,49800,44087.63281,10374750
2017-09-12,50200,50220,49140,49600,43910.57422,12029750
2017-09-13,49820,50400,49440,49620,43928.27734,9357000
2017-09-14,50060,50320,49760,50300,44530.27734,14204750
2017-09-15,50300,50560,49860,50400,44618.80859,10757300
2017-09-18,50540,52480,50520,52480,46460.21875,11524950
2017-09-19,52500,52640,51780,52120,46141.51563,9850400
2017-09-20,52120,52500,51840,52220,46230.03516,9292750
2017-09-21,52220,52960,52220,52800,46743.50391,8839800
2017-09-25,53000,53680,53000,53620,47469.45313,9303100
2017-09-26,53620,53620,53620,53620,47469.45313,0
2017-09-27,52000,52200,51500,51680,45751.98438,10797000
2017-09-28,52260,52460,51260,51260,45503.42969,12025450
2017-09-29,51180,51620,50840,51280,45521.17578,12909400
2017-10-10,53360,53640,52800,52800,46870.48828,20519800
2017-10-11,53600,54760,53340,54640,48503.85156,13652150
2017-10-12,54840,55160,54100,54800,48645.87891,13890700
2017-10-13,54540,54840,53780,54000,47935.72266,12601650
2017-10-16,53980,54860,53760,53920,47864.70703,9769950
2017-10-17,54020,55380,54000,54800,48645.87891,10607800
2017-10-18,54820,55240,54040,54760,48610.375,10110750
2017-10-19,54700,54700,52980,52980,47030.26953,12108700
2017-10-20,52800,54100,52800,53840,47793.67969,8027050
2017-10-23,54600,54640,54000,54300,48202.03125,8311050
2017-10-24,54700,54780,54040,54040,47971.23438,5806050
2017-10-25,54040,54420,53700,53900,47846.94922,5882850
2017-10-26,53720,53900,52400,52400,46515.41016,9776550
2017-10-27,52400,53320,52140,53080,47119.03516,7392500
2017-10-30,53780,54320,53700,54040,47971.23438,8196150
2017-10-31,54060,55440,53500,55080,48894.4375,13381550
2017-11-01,57500,57500,56180,57220,50794.10156,14510250
2017-11-02,57500,57520,56760,57060,50652.08203,10721050
2017-11-03,57060,57140,55860,56380,50048.44531,9935800
2017-11-06,56380,56500,55340,56380,50048.44531,9000950
